counter,status,resp_time,value_first
0,Good,0.311
1,Good,0.443
2,Good,0.433
3,Good,0.410
4,Good,0.471
5,Good,0.443
6,Good,0.430
7,Good,0.425
8,Good,0.427
9,Good,0.412
10,Good,0.501
11,Good,0.433
12,Good,0.419
13,Good,0.417
14,Good,0.420
15,Good,0.413
16,Good,0.456
17,Good,0.422
18,Good,0.415
19,Good,0.453
20,Good,0.423
21,Good,0.415
22,Good,0.447
23,Good,0.436
24,Good,0.415
25,Good,0.415
26,Good,0.414
27,Good,0.416
28,Good,0.448
29,Good,0.417
30,Good,0.414
31,Good,0.403
32,Good,0.402
33,Good,0.411
34,Good,0.508
35,Good,0.398
36,Good,0.422
37,Good,0.412
38,Good,0.445
39,Good,0.415
40,Good,0.466
41,Good,0.448
42,Good,0.455
43,Good,0.409
44,Good,0.418
45,Good,0.412
46,Good,0.473
47,Good,0.466
48,Good,0.425
49,Good,0.435
50,Good,0.440
51,Good,0.424
52,Good,0.416
53,Good,0.417
54,Good,0.438
55,Good,0.403
56,Good,0.427
57,Good,0.418
58,Good,0.448
59,Good,0.416
60,Good,0.445
61,Good,0.424
62,Good,0.475
63,Good,0.433
64,Good,0.421
65,Good,0.413
66,Good,0.415
67,Good,0.414
68,Good,0.422
69,Good,0.440
70,Good,0.444
71,Good,0.409
72,Good,0.439
73,Good,0.406
74,Good,0.475
75,Good,0.441
76,Good,0.441
77,Good,0.415
78,Good,0.469
79,Good,0.393
80,Good,0.424
81,Good,0.451
82,Good,0.446
83,Good,0.416
84,Good,0.447
85,Good,0.439
86,Good,0.426
87,Good,0.458
88,Good,0.411
89,Good,0.413
90,Good,0.419
91,Good,0.448
92,Good,0.410
93,Good,0.458
94,Good,0.466
95,Good,0.487
96,Good,0.408
97,Good,0.445
98,Good,0.421
99,Good,0.434
100,Good,0.423
101,Good,0.418
102,Good,0.404
103,Good,0.449
104,Good,0.420
105,Good,0.406
106,Good,0.416
107,Good,0.445
108,Good,0.406
109,Good,0.424
110,Good,0.416
111,Good,0.434
112,Good,0.422
113,Good,0.419
114,Good,0.411
115,Good,0.492
116,Good,0.430
117,Good,0.421
118,Good,0.409
119,Good,0.466
120,Good,0.419
121,Good,0.413
122,Good,0.431
123,Good,0.441
124,Good,0.416
125,Good,0.421
126,Good,0.433
127,Good,0.449
128,Good,0.413
129,Good,0.419
130,Good,0.420
131,Good,0.444
132,Good,0.400
133,Good,0.421
134,Good,0.420
135,Good,0.422
136,Good,0.417
137,Good,0.403
138,Good,0.406
139,Good,0.451
140,Good,0.423
141,Good,0.417
142,Good,0.411
143,Good,0.480
144,Good,0.415
145,Good,0.412
146,Good,0.438
147,Good,0.440
148,Good,0.446
149,Good,0.431
150,Good,0.425
151,Good,0.414
152,Good,0.473
153,Good,0.406
154,Good,0.403
155,Good,0.438
156,Good,0.456
