counter,status,resp_time
354,Good,34.414
355,Good,33.583
356,Good,36.352
357,Good,33.972
358,Good,34.549
359,Good,34.173
360,Good,33.718
361,Good,33.678
362,Good,35.076
363,Good,35.482
364,Good,33.115
365,Good,33.442
366,Good,33.363
367,Good,34.386
368,Good,33.656
369,Good,33.536
370,Good,33.356
371,Good,34.241
372,Good,33.721
373,Good,34.062
374,Good,33.72
375,Good,33.663
376,Good,33.615
377,Good,35.779
378,Good,33.838
379,Good,34.008
380,Good,38.001
381,Good,32.873
382,Good,34.67
383,Good,36.702
384,Good,35.014
385,Good,36.902
386,Good,35.186
387,Good,33.684
388,Good,33.46
389,Good,33.893
390,Good,33.714
391,Good,33.85
392,Good,33.975
393,Good,33.698
394,Good,34.474
395,Good,34.189
396,Good,33.545
397,Good,34.584
398,Good,33.408
399,Good,33.908
400,Good,33.976
401,Good,34.201
402,Good,33.4
403,Good,33.718
404,Good,32.973
405,Good,33.593
406,Good,34.474
407,Good,34.861
408,Good,34.071
409,Good,33.779
410,Good,35.103
411,Good,34.362
412,Good,33.596
413,Good,33.628
414,Good,36.701
415,Good,33.502
416,Good,34.14
417,Good,33.782
418,Good,33.725
419,Good,33.7
420,Good,33.956
421,Good,33.83
422,Good,34.431
423,Good,34.741
424,Good,33.808
425,Good,34.685
426,Good,37.293
427,Good,34.046
428,Good,33.78
429,Good,34.266
430,Good,35.307
431,Good,34.026
432,Good,33.215
433,Good,33.364
434,Good,33.732
435,Good,37.706
436,Good,34.142
437,Good,33.288
438,Good,33.365
439,Good,34.461
440,Good,33.914
441,Good,33.512
442,Good,34.377
443,Good,34.138
444,Good,34.209
445,Good,34.052
446,Good,33.667
447,Good,33.576
448,Good,34.006
449,Good,33.333
450,Good,34.333
451,Good,33.997
452,Good,33.944
453,Good,33.982
454,Good,33.346
455,Good,33.485
456,Good,34.497
457,Good,36.363
458,Good,33.64
459,Good,34.038
460,Good,33.484
461,Good,33.446
462,Good,34.959
463,Good,33.937
464,Good,35.197
465,Good,34.211
466,Good,34.715
467,Good,33.857
468,Good,33.429
469,Good,33.437
470,Good,33.557
471,Good,34.787
472,Good,32.802
473,Good,34.011
474,Good,33.442
475,Good,34.446
476,Good,34.203
477,Good,33.182
478,Good,37.481
479,Good,34.529
480,Good,33.092
481,Good,37.087
482,Good,33.959
483,Good,33.856
484,Good,37.567
485,Good,33.566
486,Good,34.066
487,Good,34.358
488,Good,33.056
489,Good,33.171
490,Good,33.656
491,Good,33.912
492,Good,33.324
493,Good,33.219
494,Good,34.737
495,Good,34.217
496,Good,33.962
497,Good,32.806
498,Good,33.288
499,Good,34.819
500,Good,32.806
501,Good,34.624
502,Good,33.504
503,Good,34.748
504,Good,33.805
505,Good,34.582
506,Good,34.253
507,Good,35.194
508,Good,32.879
509,Good,33.932
510,Good,32.828
511,Good,34.996
512,Good,33.462
513,Good,32.892
514,Good,37.802
515,Good,33.193
516,Good,33.766
517,Good,34.653
518,Good,33.408
519,Good,33.357
520,Good,32.848
521,Good,33.365
522,Good,34.911
523,Good,34.521
524,Good,34.077
525,Good,33.458
526,Good,34.394
527,Good,33.487
528,Good,34.019
529,Good,33.473
530,Good,36.509
531,Good,33.564
532,Good,34.315
533,Good,36.935
534,Good,33.593
535,Good,33.988
536,Good,35.898
537,Good,33.603
538,Good,33.835
539,Good,35.332
540,Good,33.28
541,Good,33.06
542,Good,34.164
543,Good,33.64
544,Good,33.874
545,Good,33.599
546,Good,33.788
547,Good,33.792
548,Good,33.252
549,Good,34.069
550,Good,34.539
551,Good,33.567
552,Good,34.42
553,Good,33.245
554,Good,33.326
555,Good,34.591
556,Good,32.663
557,Good,33.837
558,Good,32.755
559,Good,33.378
560,Good,33.739
561,Good,34.095
562,Good,33.501
563,Good,33.334
564,Good,32.994
565,Good,34.733
566,Good,33.169
567,Good,33.932
568,Good,32.716
569,Good,34.073
570,Good,36.514
571,Good,33.79
572,Good,36.663
573,Good,36.444
574,Good,33.016
575,Good,33.522
576,Good,33.542
577,Good,34.034
578,Good,33.816
579,Good,33.21
580,Good,33.896
581,Good,33.27
582,Good,34.894
583,Good,34.724
584,Good,33.031
585,Good,36.169
586,Good,34.209
587,Good,33.087
588,Good,39.722
589,Good,33.2
590,Good,33.421
591,Good,35.064
592,Good,33.02
593,Good,34.636
594,Good,35.062
595,Good,33.946
596,Good,33.285
597,Good,34.367
598,Good,33.851
599,Good,33.63
600,Good,34.385
601,Good,33.589
602,Good,33.173
603,Good,33.904
604,Good,32.811
605,Good,33.431
606,Good,33.849
607,Good,33.969
608,Good,33.497
609,Good,33.446
610,Good,34.779
611,Good,33.74
612,Good,33.354
613,Good,33.433
614,Good,36.208
615,Good,35.043
616,Good,34.295
617,Good,33.838
618,Good,33.76
619,Good,32.723
620,Good,32.714
621,Good,33.421
622,Good,34.146
623,Good,33.274
624,Good,33.363
625,Good,32.964
626,Good,34.656
627,Good,33.13
628,Good,34.184
629,Good,33.187
630,Good,36.247
631,Good,36.315
632,Good,33.451
633,Good,33.889
634,Good,33.913
635,Good,33.513
636,Good,34.137
637,Good,33.209
638,Good,34.382
639,Good,32.969
640,Good,33.028
641,Good,33.126
642,Good,33.263
643,Good,34.698
644,Good,33.124
645,Good,33.243
646,Good,36.648
647,Good,34.057
648,Good,34.185
649,Good,33.834
650,Good,32.693
651,Good,34.621
652,Good,33.513
653,Good,32.815
654,Good,34.405
655,Good,33.374
656,Good,34.272
657,Good,33.058
658,Good,34.277
659,Good,33.358
660,Good,34.147
661,Good,35.902
662,Good,35.676
663,Good,33.555
664,Good,33.994
665,Good,33.514
666,Good,36.845
667,Good,33.311
668,Good,32.524
669,Good,33.488
670,Good,34.417
671,Good,34.258
672,Good,33.2
673,Good,34.68
674,Good,34.593
675,Good,33.13
676,Good,33.973
677,Good,33.745
678,Good,33.477
679,Good,35.305
680,Good,33.183
681,Good,33.765
682,Good,34.288
683,Good,33.91
684,Good,33.945
685,Good,33.592
686,Good,35.853
687,Good,37.646
688,Good,34.06
689,Good,33.055
690,Good,33.939
691,Good,33.993
692,Good,33.48
693,Good,34.847
694,Good,34.544
695,Good,34.529
696,Good,33.701
697,Good,33.847
698,Good,34.871
699,Good,33.592
700,Good,33.473
701,Good,35.759
702,Good,34.123
703,Good,33.113
704,Good,36.481
705,Good,32.742
706,Good,32.777
707,Good,35.05
708,Good,33.12
709,Good,33.438
710,Good,38.358
711,Good,34.105
712,Good,33.543
713,Good,34.361
714,Good,33.639
715,Good,33.673
716,Good,33.128
717,Good,33.496
718,Good,34.253
719,Good,33.91
720,Good,34.161
721,Good,33.315
722,Good,34.543
723,Good,33.702
724,Good,33.262
725,Good,33.139
726,Good,33.219
727,Good,33.339
728,Good,32.904
729,Good,33.771
730,Good,37.497
731,Good,33.047
732,Good,36.045
733,Good,33.754
734,Good,36.145
735,Good,34.074
736,Good,33.884
737,Good,33.281
738,Good,33.049
739,Good,35.315
740,Good,33.068
741,Good,33.641
742,Good,32.92
743,Good,33.559
744,Good,32.819
745,Good,32.808
746,Good,34.015
747,Good,34.424
748,Good,33.187
749,Good,33.466
750,Good,33.623
751,Good,32.68
752,Good,33.812
753,Good,36.364
754,Good,33.261
755,Good,33.436
756,Good,33.165
757,Good,33.328
758,Good,34.158
759,Good,37.289
760,Good,35.159
761,Good,35.815
762,Good,39.816
763,Good,33.356
764,Good,35.016
765,Good,33.746
766,Good,33.396
767,Good,33.849
768,Good,33.28
769,Good,33.122
770,Good,33.788
771,Good,34.69
772,Good,34.103
773,Good,33.733
774,Good,33.565
775,Good,34.77
776,Good,33.368
777,Good,32.886
778,Good,34.783
779,Good,34.384
780,Good,36.142
781,Good,33.344
782,Good,33.429
783,Good,33.59
784,Good,33.211
785,Good,34.124
786,Good,33.787
787,Good,33.611
788,Good,33.604
789,Good,32.898
790,Good,33.413
791,Good,34.223
792,Good,33.206
793,Good,33.712
794,Good,33.831
795,Good,33.443
796,Good,33.316
797,Good,33.238
798,Good,33.997
799,Good,34.189
800,Good,33.111
801,Good,34.334
802,Good,34.686
803,Good,33.635
804,Good,34.327
805,Good,34.669
806,Good,33.165
807,Good,34.154
